Rula,HA,EDA,PA,EDA_Task,RR,Y
4.625779626,0.361645303,0.516026706,0.397741905,0.165578794,0.004357298,1
5.096711799,0.535548264,0.511904762,0.48908209,0.01433066,0.010561343,1
2.951348961,0.388978495,0.579961719,0.477604497,0.027587536,0.001157407,0
3.65625,0.503076923,0.681711759,0.564056374,0.018822114,0.073032407,1
2.638474295,0.428512018,0.665992341,0.672213275,0.002247123,0.025664476,1
4.340939241,0.494718967,0.562195202,0.57635261,1.56712934,0.035089006,1
5.106526632,0.310491276,0.970361531,0.535882925,1.58324615,0.052450117,1
3.560921577,0.30335408,0.662985391,0.571063142,0.828946249,0.024254428,1
3.004110152,0.31995104,0.420824285,0.470315541,1.011934336,0.007682458,1
4.047091413,0.32278,0.776408045,0.642557083,1.609247853,0.008747799,1
5.553215389,0.385296104,0.535875017,0.544780511,0.024634698,0.019301471,1
5.8,0.309057528,0.590982287,0.485482627,0.023868149,0.060559641,1
3.23320719,0.514245614,0.297566372,0.496673873,0.018029635,0.18021776,0
2.986736144,0.422672065,0.435779817,0.666558872,0.000860054,0.008042279,1
3.603537214,0.216757619,0.510436945,0.647898133,0.01598763,0.036488971,1
4.958254983,0.573390095,0.594224953,0.548555398,0.014842667,0.217013889,1
5.484775641,0.705268329,0.523776936,0.581627582,0.077379231,0.147569444,1
2.976405622,0.540714286,0.385181838,0.497431675,0.200409822,0.252170139,0
2.99015748,0.648862448,0.117745098,0.568534072,0.437812881,0.160373264,0
3.178748759,0.554869266,0.056819946,0.446884453,0.491896017,0.154513889,0
5.788809906,0.10345726,0.364027185,0.507688282,1.074965706,0.173716041,1
6.310344828,0.635118306,0.31467229,0.544276244,0.210833241,0.071552579,1
3.11590567,0.428135889,0.301877308,0.566168893,1.826804773,0.103752748,1
2.979031453,0.536702509,0.430417315,0.591980145,1.808808422,0.083789025,1
3.084681256,0.668546904,0.292641491,0.615661996,1.283745001,0.155257937,1
4.093605385,0.39795542,0.412260283,0.483133576,0.245163536,0.146042133,1
5.071623465,0.366666667,0.522090378,0.58212947,0.134878819,0.137605598,1
4.443158954,0.502170139,0.400001348,0.618629235,0.104659754,0.113466543,1
3.221279877,0.65,0.575317854,0.715689442,0.595169215,0.116535204,1
5.074571216,0.59342363,0.450636168,0.634228473,0.283877295,0.122225053,1
4.913901345,0.388571145,0.169090065,0.506683167,0.607155397,0.233205782,1
5.824665091,0.445544554,0.415558098,0.537904923,0.364722054,0.189645176,1
4.043266894,0.536492375,0.633638775,0.401379027,0.038817526,0.21348852,1
3.744878049,0.239658849,1.123635478,0.669750254,0.001258784,0.174493661,1
3.234625668,0.275323073,0.312276525,0.627803286,0.485415584,0.247528699,0
4.382392027,0.373237035,0.292909381,0.538592958,1.745896572,0.0234375,1
4.537190083,0.483333333,0.458207747,0.562211185,0.841345867,0.09765625,1
3.036836935,0.421428571,0.433504788,0.53080231,0.333868249,0.0671875,0
2.975802469,0.682219662,0.192841019,0.744016366,0.148170257,0.061383929,1
2.576530612,0.51588458,0.586589666,0.520333038,1.13728893,0.0546875,1
5.217896175,0.431441537,0.355638497,0.001856394,0.003737736,0.052678571,1
5.521575985,0.511340206,0.926982128,0.524400998,0.038877237,0.029477814,1
3.63190184,0.456666667,0.51720705,0.568838059,0.0441126,0.037421218,1
3.741523342,0.552272727,0.587766892,0.487692747,0.156113467,0.015106355,1
3.394366197,0.373327403,0.443241378,0.589120393,0.054228496,0.032792208,0
4.856269716,0.627973394,0.675577296,0.638487047,0.243158608,0.140415025,1
5.611640212,0.515375154,0.211132761,0.69389947,0.89123191,0.172025602,1
3.298720472,0.57782516,0.439285077,0.684665146,0.768122045,0.131148586,1
2.843290891,0.499978972,0.318538552,0.620354582,0.778456395,0.147025602,0
3.230454545,0.482698354,0.582685295,0.575395071,1.627761382,0.138612141,1
4.820752,0.326773204,0.364027185,0.008815552,0.364027185,0.173716041,1
5.806177,0.402540523,0.31467229,0.503331113,0.31467229,0.071552579,1
3.098584,0.3860691,0.301877308,0.430364038,0.301877308,0.103752748,0
2.993988,0.483061445,0.430417315,0.536287089,0.430417315,0.083789025,0
3.031795,0.617887246,0.292641491,0.441734104,0.292641491,0.155257937,0
